,id,model,pam,price,retail_price,year,box,papers,gender,movement,case_size,case_material,bracelet_material,dial_type,w_resistance,date,link,img_path
65,164568,Manifattura Luminor,PAM00289,18170,23745,2011,Yes,Yes,Mens,Manual,44 MM,Pink Gold,Crocodile - Black,Brown Baton,100 metres,25/10/2020 11:29:36,https://www.watchfinder.es/Panerai/ManifatturaLuminor/PAM00289/36594/item/164568,../data/imgs/WF_panerai/164568_PAM00289_Manifattura Luminor.jpeg
66,154692,Luminor Marina,PAM00510,5320,6270,2017,Yes,Yes,Mens,Manual,44 MM,Steel,Rubber - Black,Black Quarter Arabic,300 metres,25/10/2020 11:29:40,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00510/37956/item/154692,../data/imgs/WF_panerai/154692_PAM00510_Luminor Marina.jpeg
67,157217,Luminor Base,PAM00560,4955,6050,2016,Yes,Yes,Mens,Manual,44 MM,Steel,Leather - Black,Black,300 metres,25/10/2020 11:29:43,https://www.watchfinder.es/Panerai/LuminorBase/PAM00560/26553/item/157217,../data/imgs/WF_panerai/157217_PAM00560_Luminor Base.jpeg
68,169438,Luminor Power Reserve,PAM00090,5850,7390,2006,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Baton,100 metres,25/10/2020 11:29:46,https://www.watchfinder.es/Panerai/LuminorPowerReserve/PAM00090/35595/item/169438,../data/imgs/WF_panerai/169438_PAM00090_Luminor Power Reserve.jpeg
69,154956,Luminor Marina,PAM00438,10025,13665,2015,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Ceramic - Black,Black Arabic,100 metres,25/10/2020 11:29:49,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00438/23840/item/154956,../data/imgs/WF_panerai/154956_PAM00438_Luminor Marina.jpeg
70,152315,Radiomir Manual,PAM00512,5935,,2014,Yes,Yes,Mens,Manual,42 MM,Steel,Crocodile - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:29:53,https://www.watchfinder.es/Panerai/RadiomirManual/PAM00512/23850/item/152315,../data/imgs/WF_panerai/152315_PAM00512_Radiomir Manual.jpeg
71,168896,Luminor Submersible,PAM01305,8120,9295,2019,Yes,Yes,Mens,Automatic,47 MM,Titanium,Rubber - Black,Black,300 metres,25/10/2020 11:29:56,https://www.watchfinder.es/Panerai/LuminorSubmersible/PAM01305/35102/item/168896,../data/imgs/WF_panerai/168896_PAM01305_Luminor Submersible.jpeg
72,157185,Luminor Submersible,PAM00684,20665,25310,2018,Yes,Yes,Mens,Automatic,42 MM,Rose Gold,Crocodile - Black,Black Baton,100 metres,25/10/2020 11:29:59,https://www.watchfinder.es/Panerai/LuminorSubmersible/PAM00684/34168/item/157185,../data/imgs/WF_panerai/157185_PAM00684_Luminor Submersible.jpeg
73,161219,Radiomir 1940,PAM00655,6665,9410,2018,Yes,No,Mens,Automatic,42 MM,Steel,Leather - Brown,White Arabic,100 metres,25/10/2020 11:30:03,https://www.watchfinder.es/Panerai/Radiomir1940/PAM00655/30594/item/161219,../data/imgs/WF_panerai/161219_PAM00655_Radiomir 1940.jpeg
74,161411,Submersible,PAM01616,14505,17470,2019,Yes,Yes,Mens,Automatic,47 MM,Carbon,Rubber - Black,Black,300 metres,25/10/2020 11:30:06,https://www.watchfinder.es/Panerai/Submersible/PAM01616/40277/item/161411,../data/imgs/WF_panerai/161411_PAM01616_Submersible.jpeg
